id_pagamento	tipo	id_cliente
1	credito	1
2	debito	1
3	credito	2
4	debito	2
5	credito	3
6	debito	3
7	credito	4
8	debito	4
9	credito	5
10	debito	5
11	credito	6
12	debito	6
13	credito	7
14	debito	7
15	credito	8
16	debito	8
17	credito	9
18	debito	9
19	credito	10
20	debito	10
21	credito	11
22	debito	11
23	credito	12
24	debito	12
25	credito	13
26	debito	13
27	credito	14
28	debito	14
29	credito	15
30	debito	15
31	credito	16
32	debito	16
33	credito	17
34	debito	17
35	credito	18
36	debito	18
37	credito	19
38	debito	19
39	credito	20
40	debito	20
41	credito	21
42	debito	21
43	credito	22
44	debito	22
45	credito	23
46	debito	23
47	credito	24
48	debito	24
49	credito	25
50	debito	25
51	credito	26
52	debito	26
53	credito	27
54	debito	27
55	credito	28
56	debito	28
57	credito	29
58	debito	29
59	credito	30
60	debito	30
61	credito	31
62	debito	31
63	credito	32
64	debito	32
65	credito	33
66	debito	33
67	credito	34
68	debito	34
69	credito	35
70	debito	35
71	credito	36
72	debito	36
73	credito	37
74	debito	37
75	credito	38
76	debito	38
77	credito	39
78	debito	39
79	credito	40
80	debito	40
81	pix	10
82	pix	11
83	pix	12
84	pix	13
85	pix	14
86	pix	15
87	pix	16
88	pix	17
89	pix	18
90	pix	19
91	pix	20
92	transferencia bancaria	1
93	transferencia bancaria	2
94	transferencia bancaria	3
95	transferencia bancaria	4
96	transferencia bancaria	5
97	transferencia bancaria	6
98	transferencia bancaria	7
99	transferencia bancaria	8
100	transferencia bancaria	9
101	boleto	20
102	boleto	21
103	boleto	22
104	boleto	23
105	boleto	24
106	boleto	25
107	boleto	26
108	boleto	27
109	boleto	28
110	boleto	29
111	boleto	30
112	boleto	31
113	boleto	32
114	boleto	33
115	boleto	34
116	boleto	35
117	boleto	36
118	boleto	37
119	boleto	38
120	boleto	39
121	boleto	40
